key,value,date
15-24 years,11744,1985
15-24 years,12069,1986
15-24 years,10764,1987
15-24 years,9647,1988
15-24 years,13070,1989
15-24 years,17495,1990
15-24 years,17724,1991
15-24 years,19152,1992
15-24 years,19425,1993
15-24 years,21397,1994
15-24 years,23636,1995
15-24 years,24811,1996
15-24 years,24926,1997
15-24 years,25475,1998
15-24 years,26685,1999
15-24 years,26875,2000
15-24 years,26057,2001
15-24 years,26312,2002
15-24 years,25582,2003
15-24 years,23535,2004
15-24 years,22427,2005
15-24 years,22965,2006
15-24 years,22512,2007
15-24 years,22820,2008
15-24 years,22982,2009
15-24 years,22081,2010
15-24 years,22074,2011
15-24 years,20505,2012
15-24 years,18471,2013
15-24 years,18122,2014
15-24 years,15584,2015
25-34 years,13461,1985
25-34 years,13985,1986
25-34 years,14675,1987
25-34 years,13774,1988
25-34 years,21983,1989
25-34 years,27595,1990
25-34 years,28011,1991
25-34 years,30387,1992
25-34 years,31491,1993
25-34 years,33279,1994
25-34 years,34681,1995
25-34 years,35172,1996
25-34 years,33912,1997
25-34 years,34308,1998
25-34 years,35288,1999
25-34 years,35458,2000
25-34 years,33780,2001
25-34 years,34860,2002
25-34 years,34130,2003
25-34 years,31465,2004
25-34 years,30475,2005
25-34 years,30764,2006
25-34 years,30492,2007
25-34 years,30298,2008
25-34 years,31411,2009
25-34 years,30066,2010
25-34 years,29292,2011
25-34 years,28232,2012
25-34 years,26670,2013
25-34 years,26828,2014
25-34 years,23409,2015
35-54 years,26345,1985
35-54 years,27636,1986
35-54 years,30712,1987
35-54 years,29021,1988
35-54 years,43490,1989
35-54 years,53979,1990
35-54 years,56811,1991
35-54 years,62989,1992
35-54 years,68028,1993
35-54 years,72061,1994
35-54 years,76287,1995
35-54 years,76906,1996
35-54 years,73339,1997
35-54 years,75519,1998
35-54 years,81171,1999
35-54 years,82500,2000
35-54 years,80990,2001
35-54 years,81502,2002
35-54 years,80699,2003
35-54 years,73854,2004
35-54 years,69924,2005
35-54 years,68437,2006
35-54 years,66416,2007
35-54 years,66259,2008
35-54 years,68605,2009
35-54 years,65514,2010
35-54 years,63225,2011
35-54 years,60868,2012
35-54 years,58707,2013
35-54 years,57436,2014
35-54 years,49989,2015
5-14 years,670,1985
5-14 years,662,1986
5-14 years,641,1987
5-14 years,564,1988
5-14 years,873,1989
5-14 years,1164,1990
5-14 years,1209,1991
5-14 years,1315,1992
5-14 years,1408,1993
5-14 years,1364,1994
5-14 years,1515,1995
5-14 years,1474,1996
5-14 years,1501,1997
5-14 years,1674,1998
5-14 years,1737,1999
5-14 years,1716,2000
5-14 years,1774,2001
5-14 years,1762,2002
5-14 years,1580,2003
5-14 years,1501,2004
5-14 years,1452,2005
5-14 years,1498,2006
5-14 years,1429,2007
5-14 years,1364,2008
5-14 years,1485,2009
5-14 years,1423,2010
5-14 years,1528,2011
5-14 years,1387,2012
5-14 years,1365,2013
5-14 years,1417,2014
5-14 years,1228,2015
55-74 years,21235,1985
55-74 years,21987,1986
55-74 years,24783,1987
55-74 years,23346,1988
55-74 years,32950,1989
55-74 years,39229,1990
55-74 years,40893,1991
55-74 years,44109,1992
55-74 years,46870,1993
55-74 years,49504,1994
55-74 years,51966,1995
55-74 years,52693,1996
55-74 years,51353,1997
55-74 years,53747,1998
55-74 years,55170,1999
55-74 years,53651,2000
55-74 years,50990,2001
55-74 years,51502,2002
55-74 years,51196,2003
55-74 years,46796,2004
55-74 years,45855,2005
55-74 years,45792,2006
55-74 years,45349,2007
55-74 years,45316,2008
55-74 years,46494,2009
55-74 years,45331,2010
55-74 years,44331,2011
55-74 years,43433,2012
55-74 years,42065,2013
55-74 years,41590,2014
55-74 years,37006,2015
75+ years,9202,1985
75+ years,9671,1986
75+ years,10911,1987
75+ years,11023,1988
75+ years,14310,1989
75+ years,17472,1990
75+ years,17254,1991
75+ years,17212,1992
75+ years,16873,1993
75+ years,16869,1994
75+ years,17309,1995
75+ years,17026,1996
75+ years,17231,1997
75+ years,17797,1998
75+ years,17896,1999
75+ years,17876,2000
75+ years,17619,2001
75+ years,18112,2002
75+ years,18530,2003
75+ years,17916,2004
75+ years,17730,2005
75+ years,18280,2006
75+ years,18771,2007
75+ years,18815,2008
75+ years,18409,2009
75+ years,18567,2010
75+ years,18716,2011
75+ years,19064,2012
75+ years,18534,2013
75+ years,19277,2014
75+ years,17109,2015
