region,country,suicidal_rate,gdp_per_capita
North America,Antigua and Barbuda,1.09,14853
South America,Argentina,7.74,14981
Europe,Armenia,2.65,3775
Oceania,Australia,13.61,60656
Europe,Austria,15.22,46484
Europe,Belgium,17.57,42830
North America,Belize,8.13,5561
South America,Brazil,5.84,9431
South America,Chile,11.1,14729
South America,Colombia,5.24,6552
Europe,Croatia,18.47,12351
North America,Cuba,13.95,8044
Europe,Cyprus,5.02,24718
Europe,Denmark,10.48,55972
South America,Ecuador,7.38,6832
Europe,Estonia,15.68,18149
Europe,Finland,14.11,44862
Europe,Georgia,5.55,4046
Europe,Germany,12.91,43201
Europe,Greece,5.12,18927
North America,Grenada,0.0,10290
North America,Guatemala,3.46,4472
Europe,Hungary,19.89,13087
Europe,Iceland,12.96,54909
Asia,Israel,4.55,39793
Europe,Italy,6.86,31537
Asia,Japan,19.18,36510
Asia,Kazakhstan,18.36,11784
Asia,Kyrgyzstan,8.03,1285
Europe,Latvia,20.63,14382
Europe,Lithuania,32.54,15073
Europe,Luxembourg,11.9,107456
Europe,Malta,8.28,25750
Africa,Mauritius,9.01,10125
North America,Mexico,5.45,10228
Europe,Netherlands,11.66,47206
North America,Nicaragua,5.75,2303
Europe,Norway,12.08,79187
North America,Panama,3.07,15158
Europe,Poland,15.02,13228
Asia,Qatar,2.8,69937
Europe,Romania,11.81,9431
Asia,Russian Federation,18.56,9987
Europe,Serbia,15.7,5492
Africa,Seychelles,8.14,16005
Asia,Singapore,8.85,81766
Europe,Slovenia,21.59,22036
Africa,South Africa,0.97,6403
Europe,Spain,8.16,27108
Europe,Sweden,12.97,54629
Europe,Switzerland,13.6,86068
Asia,Thailand,6.86,6552
Asia,Turkey,2.13,11961
Asia,Turkmenistan,2.72,7326
Europe,Ukraine,18.77,2256
Europe,United Kingdom,8.04,47240
South America,Uruguay,19.74,16696
